ObjID,CvtName,CvtAliasOf,Producer(Y/N),SysNamePhrase,SysDescription,SysSignalSource,SysUnitsString,SysDataType,SysRangeLSB,SysDAL,Related JIRA #s,Origin,CvtDataType,Author Notes
1412,cmioGPSSource,,,GPS Selected Source,GPS Selected Port Number.,CIO, -,Int,NA,Hazardous (B),,RTCA DO-181(),Integer,
1413,RawOnGround,,,TCAS Raw OnGround Discrete,Weight on Wheels discrete status determines if the Aircraft is In-Air or On-Ground.,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1414,RawLandingGearDown,,,TCAS Raw Landing Gear Down Discrete,"Landing Gear Down Discrete indicates, Landing gear is extended or retracted.",CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1415,RawAnalogRA,,,TCAS Raw Analog RA Discrete,Analog Radio Altitude Discrete to indicate Valid/Invalid State.,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1782,cmioXAirGndDsc,,,Air/Ground Discrete,Weight on Wheels discrete status determines if the Aircraft is In-Air or On-Ground.,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1783,cmioXLandGrDsc,,,Landing Gear Up/Down Discrete,"Landing Gear Down Discrete indicates, Landing gear is extended or retracted.",CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1784,cmioXRALTValid,,,Analog Radio Altitude Discrete,Analog Radio Altitude Discrete to indicate Valid/Invalid State.,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1785,cmioXStandbyOnDsc,,,Transponder Standby/On Discrete,Transponder Standby/On Discrete indicates transponder is in Standby or Active.,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1786,cmioXADCSSelDsc,,,ADC Source Select Discrete,ADC Source Select Discrete allows selection of ADC Source #1 or #2.,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1787,cmioXExtSquitterDisable,,,Extended Squitter Disable Discrete,Extended Squitter Disable Discrete indicates if Extended Squitter is disabled or enabled.,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1788,cmioXAutoOnDsc,,,Air Ground Discrete #1,Air Ground Discrete #1 indicates if aircraft is On-Ground or Airborne/In-Air. ,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1789,cmioXAirGndDisc2,,,Air Ground Discrete #2,Air Ground Discrete #2 indicates if aircraft is On-Ground or Airborne/In-Air. ,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1416,RawClimbInhibit1,,,Climb Inhibited Discrete,"The Climb Inhibit discrete will indicate that the aircraft is not able to achieve a climb rate of 1,500 feet per minute.",CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1417,RawInClimbInhibit1,,,Increase Climb Inhibited Discrete,"Increase Climb Inhibited Discrete will indicate that the aircraft is not able to achieve a climb rate of 2,500 feet per minute.",CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1418,RawAdvisoryInhibit1,,,Advisory Inhibit #1 Discrete,Advisory Inhibit Discrete Indiactes if TCAS is in Standby or Active mode.,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1419,RawAdvisoryInhibit2,,,Advisory Inhibit #2 Discrete,Advisory Inhibit Discrete Indicates if TCAS is in TA Only mode or not.,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1420,RawRADisplay1,,,RA Display #1 Discrete,RA Display #1 Discrete,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1421,RawRADisplay2,,,RA Display #2 Discrete, RA Display #2 Discrete,CIO, -,Bool,NA,Hazardous (B),,,Boolean,
1422,RawTCASCtrl1,,,TCAS Control #1,TCAS Display Control received from TCAS Control Panel for both TA/RA bus.,CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1423,RawTCASCtrl2,,,TCAS Control #2,TCAS Display Control received from TCAS Control Panel for left TA/RA bus.,CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1424,RawTCASCtrl3,,,TCAS Control #3,TCAS Display Control received from TCAS Control Panel for right TA/RA bus.,CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1425,RawTCASAL1,,,TCAS Altitude Limit #1,"Altitude Select Limit Word, received from TCAS Control Panel for both TA/RA bus.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1426,RawTCASAL2,,,TCAS Altitude Limit #2,"Altitude Select Limit Word, received from TCAS Control Panel for left TA/RA bus.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1427,RawTCASAL3,,,TCAS Altitude Limit #3,"Altitude Select Limit Word, received from TCAS Control Panel for right TA/RA bus.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1428,RawTCASMSCtrl1,,,Mode S TCAS Control #1,"Mode S Control Panel Data, received from TCAS Control Panel for both TA/RA bus.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1429,RawTCASMSCtrl2,,,Mode S TCAS Control #2,"Mode S Control Panel Data, received from TCAS Control Panel for left TA/RA bus.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1430,RawTCASMSCtrl3,,,Mode S TCAS Control #3,"Mode S Control Panel Data, received from TCAS Control Panel for right TA/RA bus.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1431,RawModeSCtrl,,,Mode S Control,ATCRBS Control from Tcas Control Panel,CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1432,gps1RawStatusWd,,,TCAS GPS Status Word #1,"Status Word from GPS #1, for TCAS.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1433,gps2RawStatusWd,,,TCAS GPS Status Word #2,"Status Word from GPS #2,  for TCAS.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1434,RawTPerfLimit1,,,FMS Performance Limit #1,"Raw Performance Limit from FMS #1, to TCAS.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1435,RawTPerfLimit2,,,FMS Performance Limit #2,"Raw Performance Limit from FMS #1, to TCAS.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1436,gps1RawLatitude,,,GPS Latitude #1,"Raw Latitude value from GPS #1, for TCAS.",CIO,deg,Real,0.000172,Hazardous (B),,,High-precision Float,
1437,gps2RawLatitude,,,GPS Latitude #2,"Raw Latitude value from GPS #2, for TCAS.",CIO,deg,Real,0.000172,Hazardous (B),,,High-precision Float,
1438,irs1Latitude,,,IRS Latitude #1,"Raw Latitude value from IRS #1, for TCAS.",CIO,deg,Real,0.000171661,Hazardous (B),,,High-precision Float,
1439,irs2Latitude,,,IRS Latitude #2,"Raw Latitude  value from IRS #2, for TCAS.",CIO,deg,Real,0.000171661,Hazardous (B),,,High-precision Float,
1440,gps1RawLatitudeFine,,,GPS Latitude Fine #1,"Raw Latitude Fine value from GPS #1, for TCAS.",CIO,deg,Real,8.38E-08,Hazardous (B),,,High-precision Float,
1441,gps2RawLatitudeFine,,,GPS Latitude Fine #2,"Raw Latitude Fine value from GPS #2, for TCAS.",CIO,deg,Real,8.38E-08,Hazardous (B),,,High-precision Float,
1442,gps1RawLongitude,,,GPS Longitude #1,"Raw Longitude value from GPS #1, for TCAS.",CIO,deg,Real,0.000172,Hazardous (B),,,High-precision Float,
1443,gps2RawLongitude,,,GPS Longitude #2,"Raw Longitude value from GPS #2, for TCAS.",CIO,deg,Real,0.000172,Hazardous (B),,,High-precision Float,
1444,gps1RawLongitudeFine,,,GPS Longitude Fine #1,"Raw Longitude Fine value from GPS #1, for TCAS.",CIO,deg,Real,8.38E-08,Hazardous (B),,,High-precision Float,
1445,gps2RawLongitudeFine,,,GPS Longitude Fine #2,"Raw Longitude Fine value from GPS #2, for TCAS.",CIO,deg,Real,8.38E-08,Hazardous (B),,,High-precision Float,
1446,RawGTimeFine1,,,GPS UTC Fine #1,GPS UTC Fine #1,CIO, -,Real,9.54E-07,Hazardous (B),,,High-precision Float,
1447,RawGTimeFine2,,,GPS UTC Fine #2,GPS UTC Fine #2,CIO, -,Real,9.54E-07,Hazardous (B),,,High-precision Float,
1448,RawGTimeFineFr1,,,GPS UTC Fine Fraction #1,GPS UTC Fine Fraction #1,CIO,s,Real,9.31E-10,Hazardous (B),,,High-precision Float,
1449,RawGTimeFineFr2,,,GPS UTC Fine Fraction #2,GPS UTC Fine Fraction #2,CIO,s,Real,9.31E-10,Hazardous (B),,,High-precision Float,
1450,gps1RawAltitudeWgs,,,GPS Altitude #1,"Raw Altitude from GPS #1, for TCAS.",CIO,ft,Float,0.125,Hazardous (B),,,Float,
1451,gps2RawAltitudeWgs,,,GPS Altitude #2,"Raw Altitude  from GPS #2, for TCAS.",CIO,ft,Float,0.125,Hazardous (B),,,Float,
1452,gps1RawHDOP,,,GPS HDOP #1,"Raw HDOP from GPS #1, for TCAS.",CIO, -,Float,0.03125095,Hazardous (B),,,Float,
1453,gps2RawHDOP,,,GPS HDOP #2,"Raw HDOP from GPS #2, for TCAS.",CIO, -,Float,0.03125095,Hazardous (B),,,Float,
1454,gps1RawHFOM,,,GPS Horizontal Figure of Merit #1,"Raw Horizontal Figure of Merit from GPS #1, for TCAS.",CIO,nM,Float,0.00006104,Hazardous (B),,,Float,
1455,gps2RawHFOM,,,GPS Horizontal Figure of Merit #2,"Raw Horizontal Figure of Merit  from GPS #2, for TCAS.",CIO,nM,Float,0.00006104,Hazardous (B),,,Float,
1456,gps1RawVFOM,,,GPS Vertical Figure of Merit #1,"Raw Vertical Figure of Merit from GPS #1, for TCAS.",CIO,ft,Float,0.125,Hazardous (B),,,Float,
1457,gps2RawVFOM,,,GPS Vertical Figure of Merit #2,"Raw Vertical Figure of Merit from GPS #2, for TCAS.",CIO,ft,Float,0.125,Hazardous (B),,,Float,
1458,gps1RawHeightAboveEllipsoid,,,GPS Height Above Ellipsoid Altitude #1,"Raw Height Above Ellipsoid Altitude  from GPS #1, for TCAS.",CIO,ft,Float,0.125,Hazardous (B),,,Float,
1459,gps2RawHeightAboveEllipsoid,,,GPS Height Above Ellipsoid Altitude #2,"Raw GPS Height Above Ellipsoid Altitude  from GPS #2, for TCAS.",CIO,ft,Float,0.125,Hazardous (B),,,Float,
1460,gps1RawHIL,,,GPS Horizontal Integrity Limit #1,"Raw Horizontal Integrity Limit from GPS #1, for TCAS.",CIO,nM,Float,0.00012207,Hazardous (B),,,Float,
1461,gps2RawHIL,,,GPS Horizontal Integrity Limit #2,"Raw Horizontal Integrity Limit from GPS #2, for TCAS.",CIO,nM,Float,0.00012207,Hazardous (B),,,Float,
1462,gps1RawHVFOM,,,GPS Horizontal Velocity Figure of Merit #1,"Raw Horizontal Velocity Figure of Merit from GPS #1, for TCAS.",CIO,kts,Float,0.125,Hazardous (B),,,Float,
1463,gps2RawHVFOM,,,GPS Horizontal Velocity Figure of Merit #2,"Raw Horizontal Velocity Figure of Merit from GPS #2, for TCAS.",CIO,kts,Float,0.125,Hazardous (B),,,Float,
1464,gps1RawSpeedVertical,,,GPS Vertical Velocity #1,"Raw Vertical Velocity from GPS #1, for TCAS.",CIO,ft/min,Float,1,Hazardous (B),,,Float,
1465,gps2RawSpeedVertical,,,GPS Vertical Velocity #2,"Raw GPS Vertical Velocity from GPS #2, for TCAS.",CIO,ft/min,Float,1,Hazardous (B),,,Float,
1466,gps1RawSpeedNorthSouth,,,GPS NS Velocity #1,"Raw North-South Velocity from GPS #1, for TCAS.",CIO,kts,Float,0.015625,Hazardous (B),,,Float,
1467,gps2RawSpeedNorthSouth,,,GPS NS Velocity #2,"Raw North-South Velocity from GPS #2, for TCAS.",CIO,kts,Float,0.015625,Hazardous (B),,,Float,
1468,irs1RawSpeedNorthSouth,,,IRS NS Velocity #1,"Raw North-South Velocity value from IRS #1, for TCAS.",CIO,kts,Float,0.125,Hazardous (B),,,Float,
1469,irs2RawSpeedNorthSouth,,,IRS NS Velocity #2,"Raw North-South Velocity value from IRS #2, for TCAS.",CIO,kts,Float,0.125,Hazardous (B),,,Float,
1470,gps1RawSpeedEastWest,,,GPS EW Velocity #1,"Raw East-West Velocity from GPS #1, for TCAS.",CIO,kts,Float,0.015625,Hazardous (B),,,Float,
1471,gps2RawSpeedEastWest,,,GPS EW Velocity #2,"Raw East-West Velocity from GPS #2, for TCAS.",CIO,kts,Float,0.015625,Hazardous (B),,,Float,
1472,irs1RawSpeedEastWest,,,IRS EW Velocity #1,"Raw East-West Velocity value from IRS #1, for TCAS.",CIO,kts,Float,0.125,Hazardous (B),,,Float,
1473,irs2RawSpeedEastWest,,,IRS EW Velocity #2,"Raw East-West Velocity value from IRS #2, for TCAS.",CIO,kts,Float,0.125,Hazardous (B),,,Float,
1474,gps1RawSpeedGround,,,GPS Ground Speed #1,"Raw Ground Speed from GPS #1, for TCAS.",CIO,kts,Float,0.125,Hazardous (B),,,Float,
1475,gps2RawSpeedGround,,,GPS Ground Speed #2,"Raw Ground Speed from GPS #2, for TCAS.",CIO,kts,Float,0.125,Hazardous (B),,,Float,
1476,irs1RawSpeedGround,,,IRS Ground Speed #1,"Raw Ground Speed value from IRS #1, for TCAS.",CIO,kts,Float,0.125,Hazardous (B),,,Float,
1477,irs2RawSpeedGround,,,IRS Ground Speed #2,"Raw Ground Speed value from IRS #2, for TCAS.",CIO,kts,Float,0.125,Hazardous (B),,,Float,
1478,gps1RawTrackTrue,,,GPS True Track Angle #1,"Raw True Track Angle from GPS #1, for TCAS.",CIO,deg,Float,0.00549,Hazardous (B),,,Float,
1479,gps2RawTrackTrue,,,GPS True Track Angle #2,"Raw True Track Angle from GPS #2, for TCAS.",CIO,deg,Float,0.00549,Hazardous (B),,,Float,
1480,irs1RawHeadingTrue,,,IRS True Heading #1,"Raw True Heading value from IRS #1, for TCAS.",CIO,deg,Float,0.005493,Hazardous (B),,,Float,
1481,irs2RawHeadingTrue,,,IRS True Heading #2,"Raw True Heading value from IRS #2, for TCAS.",CIO,deg,Float,0.005493,Hazardous (B),,,Float,
1482,irs1RawPitch,,, IRS Pitch Angle #1," Raw Pitch Angle  value from IRS #1, for TCAS.",CIO,deg,Float,0.01097,Hazardous (B),,,Float,
1483,irs2RawPitch,,, IRS Pitch Angle #2," Raw Pitch Angle value from IRS #2, for TCAS.",CIO,deg,Float,0.01097,Hazardous (B),,,Float,
1484,irs1RawRoll,,, IRS Roll Angle #1," Raw Roll Angle value from IRS #1, for TCAS.",CIO,deg,Float,0.010986,Hazardous (B),,,Float,
1485,irs2RawRoll,,, IRS Roll Angle #2," Raw Roll Angle value from IRS #2, for TCAS.",CIO,deg,Float,0.010986,Hazardous (B),,,Float,
1486,irs1RawHeadingMagnetic,,,IRS Magnetic Heading #1,"Raw Magnetic Heading value from IRS #1, for TCAS.",CIO,deg,Float,0.005493,Hazardous (B),,,Float,
1487,irs2RawHeadingMagnetic,,,IRS Magnetic Heading #2,"Raw Magnetic Heading value from IRS #2, for TCAS.",CIO,deg,Float,0.005493,Hazardous (B),,,Float,
1488,digitalRadioAltimeter1,,,Digital Radio Altitude #1,"Raw Digital Radio Altitude value from Radio Altimeter #1, for TCAS.",CIO,ft,Float,0.125,Hazardous (B),,,Float,
1489,digitalRadioAltimeter2,,,Digital Radio Altitude #2,"Raw Digital Radio Altitude value from Radio Altimeter #2, for TCAS.",CIO,ft,Float,0.125,Hazardous (B),,,Float,
1490,digitalRadioAltimeter3,,,Digital Radio Altitude #3,"Raw Digital Radio Altitude value from Radio Altimeter #3, for TCAS.",CIO,ft,Float,0.125,Hazardous (B),,,Float,
1491,gps1RawUTC,,,TCAS GPS UTC Time #1,"Raw UTC Time from GPS #1, for TCAS.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1492,gps2RawUTC,,,TCAS GPS UTC Time #2,"Raw UTC Time from GPS #2, for TCAS.",CIO, -,Real,NA,Hazardous (B),,,High-precision Float,
1495,dmeOutput,,,,,DME, -,AUL,NA,Hazardous (B),,,Array of Bytes,
1496,bcastL013EchoSdi,,,Label 013 Echo SDI,label 013 SDI bits,TIO, -,Int,NA,Hazardous (B),,,Integer,
1497,bcastL013EchoFlightLevel,,,Label 013 Echo Flight Level,"The Displays should compute and display absolute intruder altitude when this bit is set to 1, display relative intruder altitude when this bit is set to 0.",TIO, -,Bool,NA,Hazardous (B),,,Boolean,
1498,bcastL013EchoAltSelect,,,Label 013 Echo Altitude Select,label 013 altitude select,TIO, -,Int,NA,Hazardous (B),,,Integer,
1499,bcastL013EchoDispTraffic,,,Label 013 Echo Display Traffic,label 013 All Traffic/Threat Traffic,TIO, -,Bool,NA,Hazardous (B),,,Boolean,
1500,bcastL013EchoAdsbTransmitFile,,,Label 013 Echo ADS-B Transmit File,label 013 DTIF Transmit,TIO, -,Bool,NA,Hazardous (B),,,Boolean,
1501,bcastL013EchoAdsbCtrlSelect,,,Label 013 Echo ADS-B Control Select,ADS-B Control Select,TIO, -,Int,NA,Hazardous (B),,,Integer,
1502,bcastL013EchoRngSelect,,,Label 013 Echo Range Select,Selected TCAS Range,TIO, -,Int,NA,Hazardous (B),,,Integer,
1503,bcastL015EchoSdi,,,Label 015 Echo SDI,SDI bits from label 015,TIO, -,Int,NA,Hazardous (B),,,Integer,
1504,bcastL015EchoAltitudeLimitA,,,Label 015 Echo Altitude LimitA,valid value from label 015 or 2700 ft,TIO, -,Int,NA,Hazardous (B),,,Integer,
1505,bcastL015EchoAltitudeLimitB,,,Label 015 Echo Altitude LimitB,valid value from label 015 or 9000 ft,TIO, -,Int,NA,Hazardous (B),,,Integer,
1506,bcastL016EchoSdi,,,Label 016 Echo SDI,SDI bits from transponder,TIO, -,Int,NA,Hazardous (B),,,Integer,
1507,bcastL016EchoAltitudeReporting,,,Label 016 Echo Altitude Reporting,Alt Reporting from transponder,TIO, -,Bool,NA,Hazardous (B),,,Boolean,
1508,bcastL016EchoSpi,,,Label 016 Echo SPI,SPI from transponder,TIO, -,Bool,NA,Hazardous (B),,,Boolean,
1509,bcastL016EchoDisplayControl,,,Label 016 Echo Display Control,Display control from transponder,TIO, -,Int,NA,Hazardous (B),,,Integer,
1510,bcastL016EchoSlc,,,Label 016 Echo SLC,sensitivity level control from transponder,TIO, -,Int,NA,Hazardous (B),,,Integer,
1511,bcastL016EchoModeA4096IdentCode,,,Label 016 Echo Mode A 4096 Ident Code,4096 Ident code from transponder,TIO, -,Int,NA,Hazardous (B),,,Integer,
1512,bcastL203EchoAltitude,,,Label 203 Echo Altitude,altitude from transponder,TIO, -,Int,NA,Hazardous (B),,,Integer,
1513,bcastL204EchoCorrectedAltitude,,,Label 204 Echo Corrected Altitude,corrected own aircraft altitude from transponder,TIO, -,Int,NA,Hazardous (B),,,Integer,
1514,bcastL350EchoMaintenance,,,Label 350 Echo Maintenance,Mode S Fault Summary Word,TIO, -,Int,NA,Hazardous (B),,,Integer,
1515,bcastL314TrueHeading,,,Label 314 True Heading,from irsRawHeadingTrue,TIO, -,Float,NA,Hazardous (B),,,Float,
1517,bcastL320MagHeading,,,Label 320 Mag Heading,from irsRawHeadingMagnetic,TIO, -,Float,NA,Hazardous (B),,,Float,
1845,bcastL351EchoSdi,,,Label 351 SDI,Label 350 SDI from Mode S Transponder,TIO, -,Int,NA,Hazardous (B),,,Integer,
1842,tcasTISBADSBServiceCoverageStatus,,,TIS-B/ADS-R Service Coverage Status,1 = Indication that the aircraft is within TIS-B/ADS-R coverage,TIO, -,Bool,NA,Hazardous (B),,,Boolean,
1518,tcasRi,,,TCAS RI,aircraft capability from CAS logic,TIO, -,Int,NA,Hazardous (B),,,Integer,
1516,tcasSl,,,TCAS SL,sensitivity level from CAS logic,TIO, -,Int,NA,Hazardous (B),,,Integer,
1519,tcasRaAdvisoryRateMaintain,,,TCAS RA Advisory Rate Maintain,RA Rate Maintain output received from CAS logic,TIO, -,Int,NA,Hazardous (B),,,Integer,
1521,tcasRaCombinedControl,,,TCAS RA Combined Control,RA Combined output received from CAS logic,TIO, -,Int,NA,Hazardous (B),,,Integer,
1522,tcasRaDownAdvisory,,,TCAS RA Down Advisory,RA Down output received from CAS logic,TIO, -,Int,NA,Hazardous (B),,,Integer,
